condition,drugName,avg_rating,review_count
Dermatological Disorders,Benzoic acid / salicylic acid,10.0,3
Dermatologic Lesion,Zinc oxide,10.0,3
von Willebrand's Disease,Stimate,10.0,3
Lennox-Gastaut Syndrome,Rufinamide,10.0,5
Light Sedation,Chlorpromazine,10.0,3
Light Anesthesia,Lorazepam,10.0,3
Insomnia,Secobarbital,10.0,3
Muscle Spasm,Norgesic Forte,10.0,3
"Diabetes, Type 1",Pramlintide,10.0,3
Hypoestrogenism,Conjugated estrogens,10.0,3
Motion Sickness,Cyclizine,10.0,5
Indigestion,Prilosec OTC,10.0,3
Indigestion,Pepto-Bismol,10.0,3
"Hypothyroidism, After Thyroid Removal",Nature-Throid,10.0,3
Menopausal Disorders,Estratest H.S.,10.0,4
Menopausal Disorders,Esterified estrogens / methyltestosterone,10.0,5
"Diabetes, Type 1",Insulin lispro,10.0,3
Birth Control,Plan B,10.0,3
Lennox-Gastaut Syndrome,Banzel,10.0,3
Migraine,Migergot,10.0,5
Herpes Simplex,Zovirax Cream,10.0,3
"Diarrhea, Acute",Loperamide,10.0,5
Diarrhea,Paregoric,10.0,3
Not Listed / Othe,Cyproheptadine,10.0,3
Not Listed / Othe,Magnesium citrate,10.0,4
Cystic Fibrosis,Pancrelipase,10.0,5
Sinus Symptoms,Guaifenesin / phenylephrine,10.0,3
"COPD, Maintenance",Olodaterol / tiotropium,10.0,3
Sinus Symptoms,Dexbrompheniramine / pseudoephedrine,10.0,6
Sinus Symptoms,Drixoral Cold and Allergy,10.0,7
Cutaneous Candidiasis,Nystatin / triamcinolone,10.0,3
Bacterial Infection,Amoxil,10.0,3
Hepatitis C,Daclatasvir,10.0,4
"Burns, External",Silvadene,10.0,4
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",Valtrex,10.0,3
Night Terrors,Diazepam,10.0,6
Stomach Ulce,Rabeprazole,10.0,3
Diaper Rash,Vusion,10.0,4
Diaper Rash,Zinc oxide,10.0,5
Stomach Ulce,Omeprazole / sodium bicarbonate,10.0,3
"Burns, External",Silver sulfadiazine,10.0,35
Nocturnal Leg Cramps,Soma,10.0,6
Non-Small Cell Lung Cance,Crizotinib,10.0,3
Nasal Congestion,Privine,10.0,9
Nasal Congestion,Naphazoline,10.0,9
Nasal Congestion,Dexbrompheniramine / pseudoephedrine,10.0,11
Tonsillitis/Pharyngitis,Omnicef,10.0,3
NSAID-Induced Gastric Ulce,Esomeprazole,10.0,3
NSAID-Induced Gastric Ulce,Nexium,10.0,3
"High Cholesterol, Familial Heterozygous",Rosuvastatin,10.0,4
Hot Flashes,Bazedoxifene / conjugated estrogens,10.0,4
Panic Disorde,Tofranil,10.0,4
Cold Symptoms,Drixoral Cold and Allergy,10.0,7
Cough and Nasal Congestion,Chlorpheniramine / hydrocodone / pseudoephedrine,10.0,10
Rhinitis,Allerx Dose Pack DF,10.0,3
Cold Symptoms,Dexbrompheniramine / pseudoephedrine,10.0,5
Gastric Ulcer Maintenance Treatment,Zantac,10.0,3
Anxiety,Alprazolam Intensol,10.0,3
Cold Symptoms,Chlorpheniramine / phenylephrine,10.0,3
Gingivitis,Chlorhexidine,10.0,3
Anaplastic Oligodendroglioma,Temozolomide,10.0,3
Psoriasis,Psoriasin,10.0,3
HIV Infection,Fuzeon,10.0,3
Paroxysmal Supraventricular Tachycardia,Flecainide,10.0,4
Rosacea,Solodyn,10.0,3
Cough and Nasal Congestion,Zutripro,10.0,10
Allergic Reactions,EpiPen,10.0,3
Rheumatoid Arthritis,Triamcinolone,10.0,3
Allergic Rhinitis,Astelin,10.0,8
Rheumatoid Arthritis,Kenalog-40,10.0,3
Rheumatoid Arthritis,Ibuprofen,10.0,4
Allergic Rhinitis,Chlor-Trimeton,10.0,3
Erosive Esophagitis,Prevacid,10.0,3
Erosive Esophagitis,Lansoprazole,10.0,5
Costochondritis,Naproxen,10.0,4
Erosive Esophagitis,Ranitidine,10.0,3
Eye Redness,Hypotears,10.0,3
Allergic Rhinitis,Chlorpheniramine / phenylephrine,10.0,3
Psoriasis,Flurandrenolide,10.0,3
Epilepsy,Mebaral,10.0,3
Psoriasis,Cordran Tape,10.0,3
GERD,Nizatidine,10.0,4
Postpartum Depression,Fluoxetine,10.0,3
Atopic Dermatitis,Dupixent,10.0,4
Atopic Dermatitis,Dupilumab,10.0,4
Head Lice,Spinosad,10.0,4
Head Lice,Malathion,10.0,3
Schizophrenia,Stelazine,10.0,3
"Asthma, Maintenance",Intal Inhaler,10.0,3
Atrial Fibrillation,Sotalol Hydrochloride AF,10.0,3
Pain,Bupivacaine liposome,10.0,3
Osteoporosis,Conjugated estrogens,10.0,3
Headache,Ascomp with Codeine,10.0,3
Sedation,Ativan,10.0,3
Sinus Symptoms,Acetaminophen / pseudoephedrine,10.0,6
Headache,Advil,10.0,3
B12 Nutritional Deficiency,Cyanocobalamin,10.0,4
B12 Nutritional Deficiency,Vitamin B12,10.0,4
Pain,Roxicodone Intensol,10.0,3
Opioid Overdose,Narcan Injection,10.0,3
Dermatitis,Triamcinolone,9.93,14
Allergic Rhinitis,Drixoral Cold and Allergy,9.93,14
Anxiety and Stress,Elavil,9.89,9
